request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_44,79390.0,not_affordable,not_recommended,none,,none,Verified balance 162290.00 and protected balance 82900.00 were used; live judgment was unavailable.
request_45,8833100.0,not_affordable,not_recommended,none,,none,Verified balance 19982900.00 and protected balance 11149800.00 were used; live judgment was unavailable.
request_46,49450.0,affordable_now,full_payment,2024-12-03:49450,2024-12-03,none,Verified balance 202335.00 and protected balance 84000.00 were used; live judgment was unavailable.
request_47,38114000.0,affordable_now,full_payment,2025-05-05:3.8114e+07,2025-05-05,none,Verified balance 112924150.00 and protected balance 30049000.00 were used; live judgment was unavailable.
request_48,0.0,not_affordable,not_recommended,none,,none,Verified balance 188065.00 and protected balance 188065.00 were used; live judgment was unavailable.
request_49,20228793.34,not_affordable,not_recommended,none,,none,Verified balance 40504493.34 and protected balance 20275700.00 were used; live judgment was unavailable.
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Verified balance 247325.50 and protected balance 99700.00 were used; live judgment was unavailable.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2.191e+06,2026-01-03,none,Verified balance 35347700.00 and protected balance 7811000.00 were used; live judgment was unavailable.
request_52,28870.0,affordable_now,full_payment,2024-06-05:28870,2024-06-05,none,Verified balance 75320.00 and protected balance 41500.00 were used; live judgment was unavailable.
request_53,1423.42,not_affordable,not_recommended,none,,none,Verified balance 3523.42 and protected balance 2100.00 were used; live judgment was unavailable.
request_54,16581.4,not_affordable,not_recommended,none,,none,Verified balance 53581.40 and protected balance 37000.00 were used; live judgment was unavailable.
request_55,0.0,not_affordable,not_recommended,none,,none,Verified balance 314341.19 and protected balance 314341.19 were used; live judgment was unavailable.
request_56,881.56,affordable_now,full_payment,2025-02-03:881.56,2025-02-03,none,Verified balance 3432.36 and protected balance 2100.00 were used; live judgment was unavailable.
request_57,21214.6,not_affordable,not_recommended,none,,none,Verified balance 63914.60 and protected balance 42700.00 were used; live judgment was unavailable.
request_58,16226000.0,affordable_now,full_payment,2024-12-07:1.6226e+07,2024-12-07,none,Verified balance 42146065.00 and protected balance 14433900.00 were used; live judgment was unavailable.
request_59,140600.0,affordable_now,full_payment,2025-05-04:140600,2025-05-04,none,Verified balance 723245.99 and protected balance 132600.00 were used; live judgment was unavailable.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Verified balance 683.69 and protected balance 400.00 were used; live judgment was unavailable.
request_61,29062.0,affordable_now,full_payment,2024-03-03:29062,2024-03-03,none,Verified balance 147470.23 and protected balance 36700.00 were used; live judgment was unavailable.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Verified balance 5151.44 and protected balance 1300.00 were used; live judgment was unavailable.
request_63,98295.0,not_affordable,not_recommended,none,,none,Verified balance 251795.00 and protected balance 153500.00 were used; live judgment was unavailable.
request_64,62473.01,not_affordable,not_recommended,none,,none,Verified balance 98573.01 and protected balance 36100.00 were used; live judgment was unavailable.
request_65,13024.0,not_affordable,not_recommended,none,,none,Verified balance 28524.00 and protected balance 15500.00 were used; live judgment was unavailable.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Verified balance 302520.00 and protected balance 80700.00 were used; live judgment was unavailable.
request_67,792.54,not_affordable,not_recommended,none,,none,Verified balance 1992.54 and protected balance 1200.00 were used; live judgment was unavailable.
request_68,2091.6,affordable_now,full_payment,2025-02-07:2091.6,2025-02-07,none,Verified balance 3657.83 and protected balance 1500.00 were used; live judgment was unavailable.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Verified balance 1639.50 and protected balance 700.00 were used; live judgment was unavailable.
request_70,93360.0,not_affordable,not_recommended,none,,none,Verified balance 208360.00 and protected balance 115000.00 were used; live judgment was unavailable.
request_71,7485050.0,not_affordable,not_recommended,none,,none,Verified balance 16369850.00 and protected balance 8884800.00 were used; live judgment was unavailable.
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Verified balance 30337.13 and protected balance 12200.00 were used; live judgment was unavailable.
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Verified balance 278542.50 and protected balance 103200.00 were used; live judgment was unavailable.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Verified balance 70056.90 and protected balance 21900.00 were used; live judgment was unavailable.
request_75,28270.0,affordable_now,full_payment,2026-04-06:28270,2026-04-06,none,Verified balance 145867.87 and protected balance 39000.00 were used; live judgment was unavailable.
request_76,1538.8,not_affordable,not_recommended,none,,none,Verified balance 3338.80 and protected balance 1800.00 were used; live judgment was unavailable.
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Verified balance 189860.50 and protected balance 82200.00 were used; live judgment was unavailable.
request_78,0.0,not_affordable,not_recommended,none,,none,Verified balance 156676.00 and protected balance 156676.00 were used; live judgment was unavailable.
request_79,1104.08,not_affordable,not_recommended,none,,none,Verified balance 2104.08 and protected balance 1000.00 were used; live judgment was unavailable.
request_80,158825.0,not_affordable,not_recommended,none,,none,Verified balance 280125.00 and protected balance 121300.00 were used; live judgment was unavailable.
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Verified balance 5028.25 and protected balance 1600.00 were used; live judgment was unavailable.
request_82,1102.4,not_affordable,not_recommended,none,,none,Verified balance 2202.40 and protected balance 1100.00 were used; live judgment was unavailable.
request_83,31130.0,not_affordable,not_recommended,none,,none,Verified balance 68930.00 and protected balance 37800.00 were used; live judgment was unavailable.
request_84,0.0,not_affordable,not_recommended,none,,none,Verified balance 153945.00 and protected balance 153945.00 were used; live judgment was unavailable.
request_85,2422120.0,not_affordable,not_recommended,none,,none,Verified balance 8818420.00 and protected balance 6396300.00 were used; live judgment was unavailable.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Verified balance 228639.50 and protected balance 84900.00 were used; live judgment was unavailable.
request_87,92850.0,not_affordable,not_recommended,none,,none,Verified balance 278750.00 and protected balance 185900.00 were used; live judgment was unavailable.
request_88,15557.89,not_affordable,not_recommended,none,,none,Verified balance 41357.89 and protected balance 25800.00 were used; live judgment was unavailable.
request_89,13756000.0,affordable_now,full_payment,2025-11-04:1.3756e+07,2025-11-04,none,Verified balance 27331862.01 and protected balance 12534700.00 were used; live judgment was unavailable.
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Verified balance 31629.50 and protected balance 7600.00 were used; live judgment was unavailable.
request_91,1927.2,affordable_now,full_payment,2024-09-03:1927.2,2024-09-03,none,Verified balance 4209.60 and protected balance 2100.00 were used; live judgment was unavailable.
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Verified balance 78664.47 and protected balance 28100.00 were used; live judgment was unavailable.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Verified balance 3962.10 and protected balance 1900.00 were used; live judgment was unavailable.
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Verified balance 2663.60 and protected balance 600.00 were used; live judgment was unavailable.
request_95,137865.0,not_affordable,not_recommended,none,,none,Verified balance 283365.00 and protected balance 145500.00 were used; live judgment was unavailable.
request_96,90200.0,affordable_now,full_payment,2026-01-03:90200,2026-01-03,none,Verified balance 161635.49 and protected balance 56500.00 were used; live judgment was unavailable.
request_97,8865.89,not_affordable,not_recommended,none,,none,Verified balance 38565.89 and protected balance 29700.00 were used; live judgment was unavailable.
request_98,17244.7,not_affordable,not_recommended,none,,none,Verified balance 47244.70 and protected balance 30000.00 were used; live judgment was unavailable.
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Verified balance 86706.58 and protected balance 49100.00 were used; live judgment was unavailable.
request_100,35863.53,not_affordable,not_recommended,none,,none,Verified balance 68363.53 and protected balance 32500.00 were used; live judgment was unavailable.
request_101,0.0,not_affordable,not_recommended,none,,none,Verified balance 465868.50 and protected balance 465868.50 were used; live judgment was unavailable.
request_102,1716.0,affordable_now,full_payment,2026-04-05:1716,2026-04-05,none,Verified balance 4643.74 and protected balance 900.00 were used; live judgment was unavailable.
request_103,43249.0,not_affordable,not_recommended,none,,none,Verified balance 168749.00 and protected balance 125500.00 were used; live judgment was unavailable.
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Verified balance 64021.70 and protected balance 24700.00 were used; live judgment was unavailable.
request_105,0.0,not_affordable,not_recommended,none,,none,Verified balance 147831.80 and protected balance 147831.80 were used; live judgment was unavailable.
request_106,1401.7,not_affordable,not_recommended,none,,none,Verified balance 2601.70 and protected balance 1200.00 were used; live judgment was unavailable.
request_107,2534.4,affordable_now,full_payment,2025-05-05:2534.4,2025-05-05,none,Verified balance 5054.52 and protected balance 1600.00 were used; live judgment was unavailable.
request_108,7836.4,not_affordable,not_recommended,none,,none,Verified balance 31936.40 and protected balance 24100.00 were used; live judgment was unavailable.
request_109,1276.46,not_affordable,not_recommended,none,,none,Verified balance 2976.46 and protected balance 1700.00 were used; live judgment was unavailable.
request_110,22352.0,affordable_now,full_payment,2025-08-06:22352,2025-08-06,none,Verified balance 61229.53 and protected balance 11200.00 were used; live judgment was unavailable.
request_111,16625000.0,affordable_now,full_payment,2026-04-03:1.6625e+07,2026-04-03,none,Verified balance 85204860.00 and protected balance 23022800.00 were used; live judgment was unavailable.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Verified balance 1026.00 and protected balance 500.00 were used; live judgment was unavailable.
request_113,0.0,not_affordable,not_recommended,none,,none,Verified balance 141890.00 and protected balance 141890.00 were used; live judgment was unavailable.
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Verified balance 219230.00 and protected balance 113400.00 were used; live judgment was unavailable.
request_115,27135.0,not_affordable,not_recommended,none,,none,Verified balance 65935.00 and protected balance 38800.00 were used; live judgment was unavailable.
request_116,58075.0,not_affordable,not_recommended,none,,none,Verified balance 138375.00 and protected balance 80300.00 were used; live judgment was unavailable.
request_117,880.0,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Verified balance 2164.20 and protected balance 1000.00 were used; live judgment was unavailable.
request_118,738.1,affordable_now,full_payment,2024-12-07:738.1,2024-12-07,none,Verified balance 1538.51 and protected balance 600.00 were used; live judgment was unavailable.
request_119,130901.01,not_affordable,not_recommended,none,,none,Verified balance 282101.01 and protected balance 151200.00 were used; live judgment was unavailable.
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7.714e+06,2026-04-06,none,Verified balance 31748980.00 and protected balance 20050300.00 were used; live judgment was unavailable.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Verified balance 1741.00 and protected balance 800.00 were used; live judgment was unavailable.
request_122,20558000.0,affordable_now,full_payment,2025-08-05:2.0558e+07,2025-08-05,none,Verified balance 56827244.99 and protected balance 12588500.00 were used; live judgment was unavailable.
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4.076e+06,2026-01-07,none,Verified balance 63706400.00 and protected balance 18091200.00 were used; live judgment was unavailable.
request_124,2109.56,not_affordable,not_recommended,none,,none,Verified balance 3709.56 and protected balance 1600.00 were used; live judgment was unavailable.
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Verified balance 22027.97 and protected balance 11300.00 were used; live judgment was unavailable.
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Verified balance 403175.00 and protected balance 129700.00 were used; live judgment was unavailable.
request_127,23980.0,affordable_now,full_payment,2024-09-05:23980,2024-09-05,none,Verified balance 66058.00 and protected balance 41000.00 were used; live judgment was unavailable.
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Verified balance 80711.70 and protected balance 42600.00 were used; live judgment was unavailable.
request_129,288.0,not_affordable,not_recommended,none,,none,Verified balance 1088.00 and protected balance 800.00 were used; live judgment was unavailable.
request_130,917.46,not_affordable,not_recommended,none,,none,Verified balance 2317.46 and protected balance 1400.00 were used; live judgment was unavailable.
request_131,1855.2,affordable_now,full_payment,2025-05-03:1855.2,2025-05-03,none,Verified balance 3387.16 and protected balance 1100.00 were used; live judgment was unavailable.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Verified balance 1744.55 and protected balance 1100.00 were used; live judgment was unavailable.
request_133,15770000.0,affordable_now,full_payment,2024-03-07:1.577e+07,2024-03-07,none,Verified balance 36824650.00 and protected balance 9986200.00 were used; live judgment was unavailable.
request_134,12118200.0,not_affordable,not_recommended,none,,none,Verified balance 28020700.00 and protected balance 15902500.00 were used; live judgment was unavailable.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Verified balance 1041.10 and protected balance 500.00 were used; live judgment was unavailable.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,Verified balance 2291.68 and protected balance 1100.00 were used; live judgment was unavailable.
request_137,67960.0,not_affordable,not_recommended,none,,none,Verified balance 139760.00 and protected balance 71800.00 were used; live judgment was unavailable.
request_138,1256.94,affordable_now,full_payment,2026-04-07:1256.94,2026-04-07,none,Verified balance 3644.65 and protected balance 2300.00 were used; live judgment was unavailable.
request_139,2267.84,not_affordable,not_recommended,none,,none,Verified balance 3767.84 and protected balance 1500.00 were used; live judgment was unavailable.
request_140,13079.0,not_affordable,not_recommended,none,,none,Verified balance 34679.00 and protected balance 21600.00 were used; live judgment was unavailable.
request_141,55245.0,not_affordable,not_recommended,none,,none,Verified balance 122545.00 and protected balance 67300.00 were used; live judgment was unavailable.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Verified balance 5993.85 and protected balance 1700.00 were used; live judgment was unavailable.
request_143,8811.0,not_affordable,not_recommended,none,,none,Verified balance 20111.00 and protected balance 11300.00 were used; live judgment was unavailable.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Verified balance 1248.08 and protected balance 600.00 were used; live judgment was unavailable.
request_145,105613.66,not_affordable,not_recommended,none,,none,Verified balance 261013.66 and protected balance 155400.00 were used; live judgment was unavailable.
request_146,81465.0,not_affordable,not_recommended,none,,none,Verified balance 190065.00 and protected balance 108600.00 were used; live judgment was unavailable.
request_147,741.53,not_affordable,not_recommended,none,,none,Verified balance 1641.53 and protected balance 900.00 were used; live judgment was unavailable.
request_148,13181.08,not_affordable,not_recommended,none,,none,Verified balance 33181.08 and protected balance 20000.00 were used; live judgment was unavailable.
request_149,36652.0,affordable_now,full_payment,2025-11-04:36652,2025-11-04,none,Verified balance 84358.38 and protected balance 42100.00 were used; live judgment was unavailable.
request_150,496.1,affordable_now,full_payment,2026-01-06:496.1,2026-01-06,none,Verified balance 1257.44 and protected balance 700.00 were used; live judgment was unavailable.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:2.6999e+07,2024-09-03,none,Verified balance 83998265.00 and protected balance 31633600.00 were used; live judgment was unavailable.
request_152,13882.0,affordable_now,full_payment,2025-02-05:13882,2025-02-05,none,Verified balance 28368.77 and protected balance 11900.00 were used; live judgment was unavailable.
request_153,503.6,not_affordable,not_recommended,none,,none,Verified balance 1903.60 and protected balance 1400.00 were used; live judgment was unavailable.
request_154,1625.8,affordable_now,full_payment,2024-12-04:1625.8,2024-12-04,none,Verified balance 4679.40 and protected balance 1300.00 were used; live judgment was unavailable.
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Verified balance 218050.00 and protected balance 56300.00 were used; live judgment was unavailable.
request_156,15205.3,not_affordable,not_recommended,none,,none,Verified balance 42105.30 and protected balance 26900.00 were used; live judgment was unavailable.
request_157,10091850.0,not_affordable,not_recommended,none,,none,Verified balance 25805950.00 and protected balance 15714100.00 were used; live judgment was unavailable.
request_158,242600.0,affordable_now,full_payment,2025-08-07:242600,2025-08-07,none,Verified balance 745417.10 and protected balance 131400.00 were used; live judgment was unavailable.
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Verified balance 40283.20 and protected balance 8700.00 were used; live judgment was unavailable.
request_160,944.61,not_affordable,not_recommended,none,,none,Verified balance 2144.61 and protected balance 1200.00 were used; live judgment was unavailable.
request_161,18297950.0,not_affordable,not_recommended,none,,none,Verified balance 41308350.00 and protected balance 23010400.00 were used; live judgment was unavailable.
request_162,10446200.0,not_affordable,not_recommended,none,,none,Verified balance 34607300.00 and protected balance 24161100.00 were used; live judgment was unavailable.
request_163,19304000.0,affordable_now,full_payment,2024-09-07:1.9304e+07,2024-09-07,none,Verified balance 49519524.26 and protected balance 26728700.00 were used; live judgment was unavailable.
request_164,27018000.0,affordable_now,full_payment,2025-02-04:2.7018e+07,2025-02-04,none,Verified balance 75429169.20 and protected balance 29550500.00 were used; live judgment was unavailable.
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Verified balance 366705.00 and protected balance 95000.00 were used; live judgment was unavailable.
request_166,2907.6,affordable_now,full_payment,2024-12-03:2907.6,2024-12-03,none,Verified balance 9001.95 and protected balance 1700.00 were used; live judgment was unavailable.
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Verified balance 105090.30 and protected balance 31200.00 were used; live judgment was unavailable.
request_168,49380.0,affordable_now,full_payment,2026-01-07:49380,2026-01-07,none,Verified balance 173843.00 and protected balance 114400.00 were used; live judgment was unavailable.
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Verified balance 77544.50 and protected balance 18700.00 were used; live judgment was unavailable.
request_170,36936000.0,affordable_now,full_payment,2025-08-06:3.6936e+07,2025-08-06,none,Verified balance 69446998.40 and protected balance 24715800.00 were used; live judgment was unavailable.
request_171,310.65,not_affordable,not_recommended,none,,none,Verified balance 810.65 and protected balance 500.00 were used; live judgment was unavailable.
request_172,10200.0,affordable_now,full_payment,2024-06-05:10200,2024-06-05,none,Verified balance 50942.40 and protected balance 27200.00 were used; live judgment was unavailable.
request_173,83190.53,not_affordable,not_recommended,none,,none,Verified balance 162290.53 and protected balance 79100.00 were used; live judgment was unavailable.
request_174,1146.2,affordable_now,full_payment,2026-04-04:1146.2,2026-04-04,none,Verified balance 3266.04 and protected balance 700.00 were used; live judgment was unavailable.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Verified balance 4760.25 and protected balance 1700.00 were used; live judgment was unavailable.
request_176,686.95,not_affordable,not_recommended,none,,none,Verified balance 1286.95 and protected balance 600.00 were used; live judgment was unavailable.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Verified balance 2987.24 and protected balance 1300.00 were used; live judgment was unavailable.
request_178,2938.1,affordable_now,full_payment,2024-12-07:2938.1,2024-12-07,none,Verified balance 7959.30 and protected balance 1400.00 were used; live judgment was unavailable.
request_179,37957250.0,not_affordable,not_recommended,none,,none,Verified balance 79388050.00 and protected balance 41430800.00 were used; live judgment was unavailable.
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Verified balance 134980.00 and protected balance 37300.00 were used; live judgment was unavailable.
request_181,1362.0,not_affordable,not_recommended,none,,none,Verified balance 3362.00 and protected balance 2000.00 were used; live judgment was unavailable.
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Verified balance 125010.30 and protected balance 31100.00 were used; live judgment was unavailable.
request_183,26866000.0,affordable_now,full_payment,2026-04-07:2.6866e+07,2026-04-07,none,Verified balance 42156223.74 and protected balance 11878300.00 were used; live judgment was unavailable.
request_184,52360.0,not_affordable,not_recommended,none,,none,Verified balance 163160.00 and protected balance 110800.00 were used; live judgment was unavailable.
request_185,783.4,not_affordable,not_recommended,none,,none,Verified balance 2083.40 and protected balance 1300.00 were used; live judgment was unavailable.
request_186,22863.5,not_affordable,not_recommended,none,,none,Verified balance 44863.50 and protected balance 22000.00 were used; live judgment was unavailable.
request_187,67435.0,not_affordable,not_recommended,none,,none,Verified balance 195735.00 and protected balance 128300.00 were used; live judgment was unavailable.
request_188,585.3,not_affordable,not_recommended,none,,none,Verified balance 1485.30 and protected balance 900.00 were used; live judgment was unavailable.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Verified balance 1147.66 and protected balance 400.00 were used; live judgment was unavailable.
request_190,1555.8,not_affordable,not_recommended,none,,none,Verified balance 3155.80 and protected balance 1600.00 were used; live judgment was unavailable.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Verified balance 1591.06 and protected balance 500.00 were used; live judgment was unavailable.
request_192,384.8,not_affordable,not_recommended,none,,none,Verified balance 1384.80 and protected balance 1000.00 were used; live judgment was unavailable.
request_193,310.62,not_affordable,not_recommended,none,,none,Verified balance 1310.62 and protected balance 1000.00 were used; live judgment was unavailable.
request_194,95030.0,not_affordable,not_recommended,none,,none,Verified balance 208630.00 and protected balance 113600.00 were used; live judgment was unavailable.
request_195,1170.4,affordable_now,full_payment,2026-01-06:1170.4,2026-01-06,none,Verified balance 2011.18 and protected balance 700.00 were used; live judgment was unavailable.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Verified balance 1575.65 and protected balance 500.00 were used; live judgment was unavailable.
request_197,50939000.0,affordable_now,full_payment,2025-11-05:5.0939e+07,2025-11-05,none,Verified balance 96081218.26 and protected balance 26245900.00 were used; live judgment was unavailable.
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Verified balance 395190.00 and protected balance 124300.00 were used; live judgment was unavailable.
request_199,23674000.0,affordable_now,full_payment,2024-09-04:2.3674e+07,2024-09-04,none,Verified balance 136691818.94 and protected balance 25359500.00 were used; live judgment was unavailable.
request_200,21717000.0,affordable_now,full_payment,2025-02-06:2.1717e+07,2025-02-06,none,Verified balance 53886150.00 and protected balance 20114600.00 were used; live judgment was unavailable.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:2.3997e+07,2026-04-03,none,Verified balance 77973400.00 and protected balance 17304500.00 were used; live judgment was unavailable.
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Verified balance 366065.00 and protected balance 147800.00 were used; live judgment was unavailable.
request_203,1442.1,affordable_now,full_payment,2025-05-07:1442.1,2025-05-07,none,Verified balance 8327.38 and protected balance 1400.00 were used; live judgment was unavailable.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Verified balance 2626.28 and protected balance 1300.00 were used; live judgment was unavailable.
request_205,10621000.0,affordable_now,full_payment,2024-03-06:1.0621e+07,2024-03-06,none,Verified balance 31462900.00 and protected balance 13994300.00 were used; live judgment was unavailable.
request_206,1404.7,affordable_now,full_payment,2025-08-03:1404.7,2025-08-03,none,Verified balance 5231.14 and protected balance 900.00 were used; live judgment was unavailable.
request_207,11830.0,affordable_now,full_payment,2026-07-05:11830,2026-07-05,none,Verified balance 26729.60 and protected balance 13600.00 were used; live judgment was unavailable.
request_208,4413000.0,affordable_now,full_payment,2024-06-07:4.413e+06,2024-06-07,none,Verified balance 16928800.00 and protected balance 10470700.00 were used; live judgment was unavailable.
request_209,8625.1,not_affordable,not_recommended,none,,none,Verified balance 27025.10 and protected balance 18400.00 were used; live judgment was unavailable.
request_210,1360.02,affordable_now,full_payment,2026-04-06:1360.02,2026-04-06,none,Verified balance 3525.32 and protected balance 2000.00 were used; live judgment was unavailable.
request_211,1227.89,not_affordable,not_recommended,none,,none,Verified balance 2727.89 and protected balance 1500.00 were used; live judgment was unavailable.
request_212,22344000.0,not_affordable,not_recommended,none,,none,Verified balance 51923800.00 and protected balance 29579800.00 were used; live judgment was unavailable.
request_213,3362.4,affordable_now,full_payment,2026-01-07:3362.4,2026-01-07,none,Verified balance 12051.94 and protected balance 2100.00 were used; live judgment was unavailable.
request_214,69750.0,affordable_now,full_payment,2024-12-04:69750,2024-12-04,none,Verified balance 292180.00 and protected balance 174900.00 were used; live judgment was unavailable.
request_215,29986.0,affordable_now,full_payment,2025-05-06:29986,2025-05-06,none,Verified balance 93951.16 and protected balance 15700.00 were used; live judgment was unavailable.
request_216,1166.8,not_affordable,not_recommended,none,,none,Verified balance 2966.80 and protected balance 1800.00 were used; live judgment was unavailable.
request_217,31601.97,not_affordable,not_recommended,none,,none,Verified balance 58401.97 and protected balance 26800.00 were used; live judgment was unavailable.
request_218,37942414.8,not_affordable,not_recommended,none,,none,Verified balance 72419614.80 and protected balance 34477200.00 were used; live judgment was unavailable.
request_219,1673.1,affordable_now,full_payment,2026-04-04:1673.1,2026-04-04,none,Verified balance 2815.51 and protected balance 1100.00 were used; live judgment was unavailable.
request_220,387.32,not_affordable,not_recommended,none,,none,Verified balance 1487.32 and protected balance 1100.00 were used; live judgment was unavailable.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Verified balance 268305.00 and protected balance 81500.00 were used; live judgment was unavailable.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Verified balance 118101.70 and protected balance 27300.00 were used; live judgment was unavailable.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Verified balance 2255.51 and protected balance 800.00 were used; live judgment was unavailable.
